City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,buala,-8.145,159.5921,27.03,82,93,4.61,SB,1722913285
334,san patricio,28.017,-97.5169,30.47,64,82,4.66,US,1722913080
335,jacarau,-6.6122,-35.2928,18.42,93,9,3.46,BR,1722913287
336,kavaratti,10.5669,72.642,27.11,85,100,5.37,IN,1722913260
337,cole harbour,44.6724,-63.4751,19.34,90,8,3.09,CA,1722913289
338,haiku-pauwela,20.9219,-156.3051,27.92,69,40,10.29,US,1722913204
339,pacific grove,36.6177,-121.9166,19.34,84,0,4.12,US,1722913042
340,kencong,-8.2833,113.3667,27.05,65,45,2.45,ID,1722913293
341,oberwart,47.2897,16.206,17.16,100,57,1.42,AT,1722913294
342,stiring-wendel,49.2,6.9333,15.85,83,0,1.54,FR,1722913295
343,sretensk,52.2453,117.7093,28.43,35,62,0.44,RU,1722913296
344,swakopmund,-22.6833,14.5333,11.66,85,0,0.45,,1722913297
345,konarka,19.9,86.1167,28.42,70,100,4.74,IN,1722913298
346,springbok,-29.6643,17.8865,5.46,42,0,2.84,ZA,1722913299
347,la ronge,55.1001,-105.2842,18.14,63,100,1.03,CA,1722913196
348,trujillo,-8.116,-79.03,16.98,88,75,5.14,PE,1722912841
349,glazunovka,52.4986,36.3275,17.23,67,91,1.92,RU,1722913302
350,nyaunglebin,17.95,96.7333,25.03,93,100,2.28,MM,1722913303
351,remire-montjoly,4.9167,-52.2667,25.02,100,0,0.0,GF,1722913078
352,st. john's,47.5649,-52.7093,20.64,96,100,8.23,CA,1722913022
353,fatezh,52.0891,35.8632,13.99,63,100,2.33,RU,1722913306
354,cochrane,51.1834,-114.4687,15.15,77,100,12.35,CA,1722913177
355,yingchuan,34.1628,113.4639,29.54,76,4,3.55,CN,1722913308
356,kuanda,56.3161,116.0806,21.77,59,90,1.79,RU,1722913309
357,suntar,62.1444,117.6319,20.21,51,49,3.31,RU,1722913311
358,amga,60.8953,131.9608,10.05,97,100,2.62,RU,1722913312
359,selfoss,63.9331,-20.9971,9.47,96,100,3.07,IS,1722913156
360,praia,14.9215,-23.5087,26.3,89,20,2.57,CV,1722913315
361,al jaradiyah,16.5795,42.9124,29.72,68,96,0.67,SA,1722913316
